date | value
2011-01-30 | 1
2011-12-31 | 1
2000-02-29 | 1
2024-02-29 | 1
2025-02-29 | 1
1900-01-01 | 1
9999-12-31 | 1

2011-13-03 | 1
2011-00-03 | 1
2011-01-32 | 1
2011-01-00 | 1
2011-02-29 | 1
1900-02-29 | 1
2011-04-31 | 1
2011-06-31 | 1
2011-09-31 | 1
2011-11-31 | 1

201-01-30 | 1
02011-01-30 | 1
11-01-30 | 1
1983-01-011 | 1
1983-001-11 | 1
1983-1-11 | 1
1983-01-1 | 1
1983/01/11 | 1
1983.01.11 | 1
1983_01_11 | 1
1983 01 11 | 1
1983:01:11 | 1
1983-01 | 1
1983 | 1
1983-01-11-01 | 1
-1983-01-11 | 1
1983--01-11 | 1
1983-01--11 | 1
1983---01---11 | 1

0000-01-01 | 1
10000-01-01 | 1
99999-12-31 | 1

abcd-ef-gh | 1
yyyy-mm-dd | 1
NULL | 1
null | 1
 | 1

2001-42-42 | 1
2023-15-15 | 1
2023-10-99 | 1
2023-99-10 | 1
2023-02-30 | 1
2021-02-29 | 1
2100-02-29 | 1
2400-02-29 | 1
